Longitude,Latitude,Field,Dataset,Product,Obj. Id,Track(deg),Swth Wdth(ft),Distance(ft),Duration(s),Elevation(ft),Area Count,Speed(mph),Diff Status,Time,X Offset(ft),Y Offset(ft),Satellites,Hding Veh(deg),Diff Status,Active Rows((1)),VDOP,HDOP,PDOP,Crop Flw(M)(lb/s),Moisture(%),Grain Temp(°F),Elvtr Speed(rpm),Pass Num,Yld Mass(Dry)(lb/ac),Yld Vol(Dry)(bu/ac),Yld Mass(Wet)(lb/ac),Yld Vol(Wet)(bu/ac),Prod(ac/h),Crop Flw(V)(bu/h),Date
-86.99087380,40.47241231,DTC,Harvest (GreenStar 3 Monitor),1,18,90.61,20.00,5.624,1.000,719.92,On,3.834,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,12.65,12.65,-459.67,0.00,1,4901.2,81.67,4901.2,81.67,9.295,759.15,10/19/2021
-86.99085363,40.47241219,DTC,Harvest (GreenStar 3 Monitor),1,19,90.65,20.00,5.624,1.000,719.88,On,3.834,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,10.12,12.61,-459.67,0.00,1,3919.2,65.31,3919.2,65.31,9.295,607.05,10/19/2021
-86.99083352,40.47241196,DTC,Harvest (GreenStar 3 Monitor),1,20,90.60,20.00,5.591,1.000,719.96,On,3.812,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,9.149,12.65,-459.67,0.00,1,3564.3,59.40,3564.3,59.40,9.241,548.86,10/19/2021
-86.99081318,40.47241183,DTC,Harvest (GreenStar 3 Monitor),1,21,90.42,20.00,5.656,1.000,720.04,On,3.857,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,11.99,12.68,-459.67,0.00,1,4618.1,76.96,4618.1,76.96,9.349,719.47,10/19/2021
-86.99079314,40.47241201,DTC,Harvest (GreenStar 3 Monitor),1,22,89.73,20.00,5.591,1.000,720.14,On,3.812,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,8.929,12.70,-459.67,0.00,1,3478.4,57.96,3478.4,57.96,9.241,535.64,10/19/2021
-86.99077302,40.47241216,DTC,Harvest (GreenStar 3 Monitor),1,23,89.50,20.00,5.591,1.000,720.28,On,3.812,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,7.826,12.71,-459.67,0.00,1,3049.0,50.81,3049.0,50.81,9.241,469.51,10/19/2021
-86.99075316,40.47241215,DTC,Harvest (GreenStar 3 Monitor),1,24,89.62,20.00,5.525,1.000,720.41,On,3.767,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,5.401,12.73,-459.67,0.00,1,2129.2,35.48,2129.2,35.48,9.132,324.03,10/19/2021
-86.99073326,40.47241228,DTC,Harvest (GreenStar 3 Monitor),1,25,89.59,20.00,5.525,1.000,720.57,On,3.767,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,2.822,12.76,-459.67,0.00,1,1112.4,18.54,1112.4,18.54,9.132,169.29,10/19/2021
-86.99071336,40.47241249,DTC,Harvest (GreenStar 3 Monitor),1,26,89.65,20.00,5.525,1.000,720.60,On,3.767,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,4.938,12.62,-459.67,0.00,1,1946.7,32.44,1946.7,32.44,9.132,296.25,10/19/2021
-86.99069690,40.47241219,DTC,Harvest (GreenStar 3 Monitor),1,27,90.29,20.00,4.574,1.000,720.52,On,3.118,N/A,10/19/2021,0.00,0.00,N/A,0.00,N/A,0.00,0.00,0.00,0.00,7.893,12.54,-459.67,0.00,1,3758.5,62.63,3758.5,62.63,7.560,473.48,10/19/2021
